Latijnse naam	Nederlandse naam	Comments on phytoremedial effectiveness	Continent-Country-City-Site	Reference (author, year)	Extractor/excluder	AI comment (berm Genk, droog zand)
Amelanchier rotundifolia	rondbladige krentenboom					"Kleine, warmteminnende struik/boom; geschikt voor droge, kalkrijke zandbodems, maar is geen inheemse soort."
Aucuba japonica	Japanse aucuba					"Schaduwminnende sierstruik; wil liefst humusrijke, eerder vochtige bodem – ongeschikt voor open, droge zandberm, eerder voor beschaduwde hoek bij bebouwing."
Berberis frikartii	Frikart-berberis (sierberberis)					"Stekelige sierstruik, goed droogte- en windtolerant; bruikbaar op droge taluds maar niet inheems – liever spaarzaam in natuurgerichte berm."
Frangula alnus	sporkehout	"Op een met zware metalen vervuilde mijnstort in Galicië (NW-Spanje) vertoonde spontane vegetatie waaronder F. alnus met name hoge Mn-gehalten; de auteurs concluderen dat deze soort kan bijdragen aan natuurlijke stabilisatie en vermindering van metalen in het stortmateriaal. In Poolse dennenmonoculturen leidde bijmenging van F. alnus tot gewijzigde verticale verdeling en lagere concentraties van zware metalen (o.a. Cd, Pb, Zn, Cu) in de oppervlaktelaag van de bodem, wat wijst op een rol in metaalretentie in strooisel/bovenbodem."	"Europa, Spanje, Galicië (mijndump); Europa, Polen, dennenbossen"	"Álvarez et al., 2003; Ka?mierczak et al., 2024"		"Inheemse struik van vochtige tot matig natte bodems; verdraagt geen extreme droogte, dus beter in lagere, wat vochtigere delen van de berm."
Ilex aquifolium	hulst	"Geochemische prospectiestudies in Toscane en Lombardije tonen dat I. aquifolium bladeren en twijgen Zn, Cd, Pb en Cu sterk concentreren op gemineraliseerde bodems; de soort werd voorgesteld als indicator voor Zn- en Cd-anomalieën. In stedelijke pot- en veldproeven accumuleerden holly-struiken significante hoeveelheden Cu, Ni en Pb uit verontreinigde stedelijke bodem. Bladeren vingen bovendien hoge niveaus van 16 EPA-PAH’s op in een druk verkeersplein t.o.v. een park, waarmee holly een efficiënte “spons” is voor verkeer-gerelateerde koolwaterstoffen. Recent biomonitoring rond een afvalverbrandingsinstallatie liet een ~230% toename van dioxinen in I. aquifolium-bladeren zien t.o.v. eerdere jaren."	"Europa, Italië (Toscane, Lombardije, Udine/Triëst); Europa, Nederland/Spanje (biomonitoring nabij verbrandingsoven)"	"Cellini Legittimo et al., 1995; Legittimo, 1998; Giorgioni & Quitadamo, 2013; Fellet et al., 2016; Zubieta/ToxicoWatch, 2024"		"Inheemse wintergroene struik/boom; liever halfschaduw en matig vochtige bodem, maar verdraagt droge periodes – geschikt in bosrijke bermranden, minder als solitair op droge toplaag."
Ilex aquifolium	hulst					"Inheemse wintergroene struik/boom; beter in bosranden en halfschaduw dan in volledig open droge berm."
Carpinus japonica	Japanse haagbeuk					"Sierboom uit Japan; houdt van voedzame, niet té droge bodems – niet ideaal voor arme zandbermen."
Juniperus communis	jeneverbes	"In zwaar vervuilde gebieden in Kosovo (Obiliq energiecentrale, industrieregio Mitrovica) waren bodems, naalden en bessen van J. communis en J. oxycedrus verontreinigd met zware metalen boven toelaatbare normen; juniper bleek metalen uit bodem en atmosferische depositie te accumuleren en werd voorgesteld als bio-indicator voor industriële vervuiling. Een risicobeoordeling van 30 geneeskrachtige planten rapporteerde detecteerbare maar lage concentraties toxische metalen in J. communis materiaal (onder EU-limieten), wat bevestigt dat de soort metalen opneemt maar doorgaans geen extreem accumulator is in niet-mijngebieden. Een recente review over juniper-phytoextractie meldt voor J. communis in mijngebieden blad-Fe in de orde 10²–10³ ppm en meetbare Pb, Ni en Zn, voldoende om voedselveiligheid van geoogste bessen in zulke gebieden in vraag te stellen."	"Europa, Kosovo, Obiliq & Mitrovica; Europese mijnregio’s (diverse locaties)"	"Binxhija & Ylli, 2021; Iordache et al., 2022; Grbovi? et al., 2025 (preprint)"		"Inheemse conifeer van droge heiden en zandgronden; langzaam groeiend maar landschappelijk en ecologisch zeer waardevol."
Cornus alba	witte kornoelje					"Sierkornoelje; verdraagt droogte redelijk maar heeft liever frissere, voedselrijkere grond – bruikbaar in bredere, wat rijkere bermen."
Ligustrum vulgare	wilde liguster	"In parken in Boekarest hadden gewassen bladeren van L. vulgare Pb 0,1–0,36 mg/kg, Cd 0,12–0,48 mg/kg, Cu 1,42–3,44 mg/kg en Zn 7,59–12,77 mg/kg d.w., typisch hoger dan de normale plantenrange; de soort werd geclassificeerd als geschikte biomonitor voor stedelijke zware-metalenbelasting. Andere studies rond staal- en verkeersemissies vonden verhoogde concentraties Pb, Ni en Cd in L. vulgare bladeren langs drukke wegen, sterk afhankelijk van verkeersdichtheid en afname na wassen van het blad (signaal dat zowel atmosferische depositie als wortelopname meespelen). Experimentele contaminatie met Pb en Cd toonde dat de soort deze metalen in het blad kan accumuleren en fysiologische stressreacties vertoont, maar de behandeling overleeft; dit wijst op een zekere tolerantie. In een PM-ranking kreeg L. vulgare een positieve score (index ~1,13, klasse “+”) als haag tegen fijn stof."	"Europa, Roemenië, Boekarest; Turkije (Kastamonu, Samsun); Iran (Shahinshahr boulevards)"	"Onete et al., 2008; Sevik et al., 2020; Nael, 2018; I??nkaralar, 2021; Wróblewska et al., 2021"		"Inheemse haagplant; zeer geschikt op droge zandgrond, verdraagt snoei, wind en luchtvervuiling en is erg insectvriendelijk."
Cotoneaster horizontalis	dwergmispel (kruipende dwergmispel)					"Laagblijvende, sterke sierstruik; goed op droge, stenige taluds maar niet inheems en in sommige regio’s invasief – in natuurgerichte berm liever vermijden."
Cotoneaster salicifolius	wilgbladige dwergmispel					"Grotere, groenblijvende cotoneaster; zeer droogtetolerant maar uitgesproken exoot en potentieel woekeraar."
Mespilus germanica	mispel	"Voor M. germanica zijn vooral voedings- en fytochemische studies gevonden; daarin worden doorgaans lage tot matige gehaltes van metalen (o.a. Fe, Zn, Cu, Pb, Cd) in vruchten gemeld, meestal onder voedselnormen. Er zijn geen duidelijke studies die de soort gericht als phyto-remediator of biomonitor voor metalen, olie of luchtvervuiling inzetten; toepassing voor sanering lijkt daarom voorlopig beperkt."	– (meest voedsel/kwaliteitstudies, locaties variëren)	n/a – geen specifieke phytoremediation-studie gevonden		"Oude fruitstruik/kleine boom; verdraagt droge, kalkrijke zandbodems redelijk goed en geeft vruchten, nuttig in meer parkachtige bermen."
Prunus padus	gewone vogelkers	In de PM-selectiestudie kreeg P. padus een PM-retentie-index rond 1,06 (klasse “+”): middelmatige effectiviteit, maar door dichte kroon en redelijk ruwe bladeren bruikbaar in gemengde heggen voor het afvangen van deeltjes en eraan gebonden metalen.	Europa, Centraal-Europa (exacte experimentele stad niet gespecificeerd)	Muhammad et al., 2022		"Boom/struik van vochtige bosranden; kan op matig droge bodem maar heeft het op extreme zanddroogte moeilijk."
Crataegus succulenta	Amerikaanse meidoorn					"Noord-Amerikaanse soort; sterk en droogtetolerant maar geen inheemse natuurwaarde, eerder voor sierbermen."
Crataegus persimilis	pruimenbladige meidoorn					"Robuuste siermeidoorn (niet inheems), goed droogtetolerant; bruikbaar als laan- of solitair in ruigere bermen, met veel bloei en bessen."
Rhamnus frangula	sporkehout	"Naast de mijnstort- en bosbodemstudies (zie F. alnus) toonden biomonitoring-onderzoeken in de VS dat bladeren van R. frangula samen met die van Acer platanoides in staat zijn om biologische metaalstress rond twee metaalverontreinigde Superfund-sites in grondwater te onderscheiden; bladanalyse gaf een goed beeld van As, Cd, Pb en Zn in het ondiepe grondwater."	Noord-Amerika, VS, New England (metal-contaminated Superfund-sites)	Gawel & Hemond, 2004		"Inheemse struik van natte tot vochtige bodems; minder geschikt voor droge toplaag, wel bruikbaar in vochtigere bermgedeelten."
Elaeagnus commutata	zilverbes					"Sterke, stikstofbindende heester voor arme, droge zandgrond; zeer robuust maar niet inheems en kan zich uitzaaien."
Ribes nigrum	zwarte bes	"In boreale bossen is R. nigrum (en andere bessen) gebruikt om het effect van houtas-toediening op zware metalen te volgen. Bessen en bladeren vertoonden hogere Cd- en Zn-gehalten bij as-toediening dan in onbehandelde percelen, maar bleven meestal onder voedingsnormen; de soort functioneert vooral als bio-indicator voor bodem-metalbeschikbaarheid, niet als intensieve phytoextractor."	Europa, Scandinavië (boreale boslocaties)	Vinichuk & Mandro, 2018 (en co-auteurs, houtas-studie)		"Struik voor tuinen en vochtigere bodems; houdt niet van kurkdroge, arme zandgrond – beter in voedselrijkere, licht vochthoudende bermgedeelten."
Rosa rubiginosa	eglantier (zoete-briarroos)	"In de PM-selectiestudie werd R. rubiginosa beoordeeld met een index van ~1,29 (klasse “+”), dankzij dichte, behaarde bladeren en takken die fijn stof en daarmee geassocieerde metalen efficiënt kunnen invangen; aanbevolen als onderdeel van gemengde struikheggen langs wegen."	Europa, Centraal-Europa (exacte stad niet gespecificeerd)	Muhammad et al., 2022		"Inheemse roos van schrale graslanden en bermen; goed droogtetolerant en zeer waardevol voor insecten en vogels."
Rosa rubiginosa	eglantier (zoete-briarroos)					"Inheemse roos van schrale graslanden en bermen; goed droogtetolerant en zeer waardevol voor insecten en vogels."
Hippophae salicifolia	wilgbladige duindoorn					"Droogte- en windtolerante struik voor arme zandbodems; niet inheems maar ecologisch gelijkaardig aan duindoorn, sterk voor ruige bermen."
Hypericum calycinum	grootbloemig hertshooi					"Lage, wintergroene bodembedekker/struik; goed voor droge, zonnige taluds maar uitgesproken tuinplant en niet inheems."
Rubus fruticosus	braam (soortcomplex)	"In de parken van Boekarest vertoonden bladeren van Rubus caesius Pb 1,42–2,27 mg/kg, Cd 0,1–0,33 mg/kg, Cu 1,18–15,2 mg/kg en Zn 7,31–7,4 mg/kg d.w.; Cu lag geregeld duidelijk boven de “normale” plantenrange, wat aangeeft dat bramen aanzienlijke hoeveelheden van bodem- en neerslag-gebonden metalen kunnen opstapelen en als bio-indicator functioneren. Dit is niet exact R. fruticosus, maar wel dezelfde genus en levensvorm, waardoor een vergelijkbare metal-binding in bramenstruwelen plausibel is."	Europa, Roemenië, Boekarest	Onete et al., 2008 (voor R. caesius als bramen-analogie)		"Sterke struik, snel woekerend; goed voor ruige bermranden maar kan andere soorten verdringen – met mate toepassen."
Salix aurita	geoorde wilg	"In de PM-selectiestudie scoorde S. aurita hoog op bladharigheid en ruwheid; PM-retentie-index ~1,36 (klasse “+”), wat wijst op goede capaciteit om fijn stof en daaraan gehechte metalen uit de lucht te filteren. Zoals bij andere wilgen wordt voor de soort (en nauw verwante taxa) aangenomen dat ze metalen vooral in wortels en ondergrondse delen immobiliseert (vergelijkbaar met de beter bestudeerde S. viminalis)."	Europa, Centraal-Europa	"Muhammad et al., 2022 (voor PM); vergelijkend wilgen-literatuur voor metaalgedrag"		"Wilg van vochtige heiden en natte bodems; niet geschikt voor droge bermtop, wel in vochtigere voetzones."
Salix cinerea	grauwe wilg	S. cinerea kreeg in dezelfde studie een PM-index ~1,15 (klasse “+”), dus redelijke effectiviteit in het afvangen van fijn stof op bladoppervlak. Andere veldstudies in berggebieden rapporteren verhoogde Zn- en Mn-gehalten in Salix-sp. bladeren op verontreinigde locaties, wat wijst op metaalopname uit bodem plus depositie.	"Europa, Centraal-Europa; West-Turkije (Bozda?-gebergte, Salix sp.)"	"Muhammad et al., 2022; Y?ld?z et al., 2010 (Salix sp. als trace-metal biomonitor)"		"Liefst natte tot vochtige grond; ongeschikt voor droge zandkoppen, wel bruikbaar in greppels en onderaan taluds."
Salix repens	kruipwilg	S. repens had in de PM-rangschikking een van de hogere indices (~1,48, klasse “++”), met zeer ruwe, behaarde bladeren en dichte groei, wat de soort zeer geschikt maakt om fijn stof (incl. metaalhoudende deeltjes) langs wegen vast te leggen. Specifieke bodem-metalstudies voor S. repens zijn schaars, maar op basis van het gedrag van andere wilgen wordt vooral immobilisatie van Cd, Zn en Pb in wortels verwacht.	Europa, Centraal-Europa	Muhammad et al., 2022		"Lage wilg van duinen en vochtige heiden; verdraagt zowel nat als tijdelijk droog zand, bruikbaar op lagere delen van taluds."
Ligustrum obtusifolium	breedbladige / Chinese liguster					"Exotische liguster voor hagen; verdraagt droogte goed maar heeft weinig natuurwaarde t.o.v. wilde liguster."
Ligustrum ovalifolium	ovaalbladige / Japanse liguster					"Veelgebruikte haagplant, zeer sterk en droogtetolerant; niet inheems en kan zich uitzaaien – beter beperkte inzet."
Salix x multinervis	hybride wilg (Salix-hybride)	"Voor S. × multinervis zelf zijn weinig gegevens gevonden; wilgenhybriden (zoals S. viminalis × klonen) worden echter breed gebruikt voor fytoextractie en -stabilisatie van Cd, Zn, Pb en soms As in mijn- en rioolslibbodems, waarbij metalen vooral in wortels en lagere stengeldelen geconcentreerd worden. De soort kan waarschijnlijk vergelijkbare functies vervullen, maar directe experimentele bevestiging ontbrak in de geraadpleegde literatuur."	– (gegevens vooral genus-niveau, diverse Europese sites)	"n/a – geen directe studie op S. × multinervis gevonden; enkel wilgen-generiek"		"Afhankelijk van ouders meestal vochtminnend; in principe geen soort voor droge bermtop maar eerder voor vochtiger zones."
Sambucus racemosa	trosvlier	Geen specifieke studies gevonden die S. racemosa gericht als phyto-remediator behandelen. Nauwe verwanten zoals Sambucus nigra tonen wel dat vlierstruiken PM en lichte tot matige hoeveelheden Pb, Zn en Cd in bladeren kunnen accumuleren en in PM-rangschikkingen als nuttig maar niet uitgesproken top-performer worden gezien. Op basis daarvan is S. racemosa waarschijnlijk bruikbaar als secundaire biomonitor/PM-filter in gemengde beplantingen, maar harde kwantitatieve gegevens ontbreken.	Europa, diverse stedelijke en bosrijke gebieden (gegevens vooral voor S. nigra)	"Muhammad et al., 2022; Y?ld?z et al., 2010 (voor genus-niveau gedrag)"		"Struik van koelere bosranden; verkiest frissere, humusrijke bodems – niet ideaal op warme, droge zandtaluds."
Lonicera nitida	struikkamperfoelie					"Wintergroene, lage haag; doet het goed op droge zandtaluds maar is niet inheems en heeft beperkte ecologische waarde."
Mahonia japonica	Japanse mahoniestruik					"Schaduw- en droogtetolerante sierstruik; eerder voor tuinsfeer, niet inheems, wel bruikbaar op schraal talud als wintergroene structuur."
Sorbus aucuparia	wilde lijsterbes	"Verschillende Europese biomonitoringstudies (buiten deze zoekronde) rapporteren dat S. aucuparia bladeren verhoogde concentraties Pb, Zn en Cd langs drukke wegen vertonen vergeleken met achtergrondlocaties, en dat de soort bruikbaar is als indicator voor verkeersvervuiling. Kwantitatieve waarden verschillen per studie, maar liggen doorgaans in dezelfde orde als andere bladverliezende straatbomen (en vaak boven “normale” achtergrondgehalten). (Deze info komt uit trainingsdata tot 2024; ik heb hier niet opnieuw op het web gezocht, dus graag zelf checken bij gebruik in een publicatie.)"	Europa, o.a. Scandinavië, Midden-Europa (langs wegen en in steden)	"Diverse auteurs; geen enkele robuuste studie kon binnen deze zoeklimiet exact geciteerd worden"		"Inheemse boom voor arme, zure tot neutrale zandbodems; verdraagt droogte en geeft bessen voor vogels – zeer geschikt langs wegen."
Sorbus torminalis	elsbes (mispelbladige lijsterbes)	Voor S. torminalis heb ik geen robuuste phytoremediation-studies kunnen vinden. De soort komt incidenteel voor in verzuurde of licht verontreinigde bossen, maar wordt in de literatuur vooral behandeld vanuit bosbeheer en biodiversiteit, niet als metaal-accumulator of luchtfilter. Voorlopig dus: geen harde gegevens over bijzondere fyto-capaciteit.	–	n/a – geen relevante studie gevonden		"Zeldzame inheemse boom; houdt van droge, warme, kalkrijke bodems – ecologisch interessant en geschikt op zonnige taluds."
Taxus baccata	venijnboom / taxus	"Taxus-bossen in sterk gemineraliseerde gebieden (bijv. in Sardinië) komen voor op bodems die verrijkt zijn aan Zn, Ni, Cd en ook PAH’s; naalden van T. baccata worden in biomonitoring-studies genoemd als geschikte matrix voor accumulatie van organische polluenten en zware metalen uit de lucht, vergelijkbaar met andere coniferen. Specifieke fyto-extractiestudies (met massabalansen) ontbreken echter, dus toepassing is vooral als lucht-/neerslag-monitor."	Europa, Italië, Sardinië (relicte yew-bossen op verontreinigde substraten)	"De Agostini, 2018; Turkyilmaz et al., 2018 (coniferen-naalden als biomonitoren)"		"Inheemse conifeer; groeit ook op droge, kalkrijke zandbodems als er enige humus is, liefst halfschaduw – bruikbaar voor hagen of groepen."
Taxus baccata	venijnboom / taxus					"Inheemse conifeer; groeit ook op droge, kalkrijke zandbodems als er enige humus is, liefst halfschaduw – bruikbaar voor hagen of groepen."
Populus simonii	Simon-populier (Chinese populier)	"Verschillende studies tonen tolerantie en fysiologische respons op Zn en Cd; in zaailingen veroorzaken hoge Zn-concentraties stress maar de soort blijft groeien en reguleert metaalthomeostase, wat wijst op potentieel voor fyto-stabilisatie en -extractie op metaalverontreinigde bodems. MDPI+2ResearchGate+2"	Azië, China (Noord-China, Loess-plateau)	"Diao et al., 2015; Gao et al., 2023; Sun et al., 2025"		"Snelle, niet-inheemse populier; verdraagt droogte maar heeft agressieve wortels en is minder stabiel bij storm – in smalle bermen voorzichtig mee zijn."
Tilia cordata	winterlinde	"In Boekarest hadden bladeren van T. cordata Pb 1,07–8,93 mg/kg, Cd 0,14–0,68 mg/kg, Cu 2–10,51 mg/kg en Zn 6,38–20,43 mg/kg d.w.; Cd en Cu overschreden geregeld de bovengrenzen van de “normale” plantenrange, waardoor de soort als efficiënte accumulator en biomonitor van stedelijke metalen werd aangemerkt. De studie concludeert dat T. cordata tot de soorten behoort die het sterkst Pb en Cd ophopen in bladweefsel."	Europa, Roemenië, Boekarest	Onete et al., 2008		"Inheemse linde; verdraagt redelijk droge zandbodems, vooral als de bodem enigszins diep en humusrijk is – goede laanboom met hoge natuurwaarde."
Prunus mahaleb	St. Lucaskers (mahalebkers)					"Kleine, warmteminnende boom; houdt van droge, kalkrijke bodems en kan goed in warme, stenige bermen, maar is niet inheems."
Ulex europaeus	gaspeldoorn	"Op hoog-arseen mijnstortplaatsen in Nieuw-Zeeland koloniseerde U. europaeus spontaan sterk verontreinigd materiaal; in wortels en bovengrondse delen werden verhoogde As-concentraties gemeten (naast andere metalen), terwijl planten vitaal bleven. De auteurs suggereren dat de soort vooral bijdraagt aan stabilisatie (phyto-stabilisation) door wortelvernetting en gedeeltelijke immobilisatie van As in biomassa, eerder dan intensieve extractie. ResearchGate"	Oceanië, Nieuw-Zeeland, arsenische mijnstorten in de Carnon-vallei en vergelijkbare sites	Robinson et al., 2003 (Plant colonization and arsenic uptake on high arsenic mine wastes)		"Stekelige, groenblijvende struik voor arme, zure zandgrond; perfect voor heideranden en ruigere droge bermen in volle zon."
Prunus serotina	Amerikaanse vogelkers					"Invasieve exoot; groeit goed op droge zandgronden maar hoort niet thuis in natuurgerichte bermen – beter vermijden."
Pyracantha	vuurdoorn					"Stekelige, groenblijvende struik; zeer sterk en droogtetolerant, goed tegen muren en taluds maar niet inheems, vooral sierwaarde."
Ulmus glabra	ruwe iep	"Een klassieke studie naar bladoppervlakte-vervuiling in de buurt van industriële emissies toonde dat bladeren van U. glabra, samen met die van Crataegus monogyna, Salix alba en Quercus robur, zwaar verontreinigd raakten met Zn, Pb en Cd-aërosolen; metaalgehalten op het bladoppervlak in de industriële zone lagen vele malen hoger dan op referentielocaties verderop. De studie gebruikte de soort als indicator voor atmosferische metaaldepositie. SpringerLink+2SpringerLink+2"	Europa, Verenigd Koninkrijk, industriële regio (exacte stad niet gespecificeerd in de samenvatting)	Little, 1973		"Inheemse iep van vochtiger hellingen; kan matig droge bodem aan maar verkiest leemiger, frissere standplaatsen; vatbaar voor iepziekte."
Quercus pyrenaica	Pyreneeën-eik	"Onderzoek naar deposities in oligotrofe Q. pyrenaica-bossen toont dat het bladerdak neerslag en bijbehorende metalen modificeert; bladeren en takken kunnen metalen vasthouden en zo de input naar de bodem beïnvloeden. Meer recent werk verkent gebruik van Q. pyrenaica in metaalverontreinigde bodems met mycorrhiza-inoculatie. Environmental Microbiology+3Seefor+3ScienceDirect+3"	Europa, Spanje (Castilla y León, Sierra de Gata)	"Marcos et al., 2003; Santa Regina et al., 1997; Lasa et al., 2023"		"Zuidwest-Europese eik, goed aangepast aan droge, arme bodems en hitte; bruikbaar als klimaatrobuuste soort maar niet inheems."
Acer campestre	veldesdoorn	"Bladeren vangen fijn stof (PM) en depositie van zware metalen (o.a. Pb, Zn, Cd); Freer-Smith et al. rapporteerden relatief hoge depositiesnelheden voor verschillende PM-fracties in straatprofielen. ScienceDirect+1"	Europa, UK, diverse steden	Freer-Smith, Beckett, & Taylor, 2005		"Zeer sterke, inheemse boom; verdraagt droogte, wind en kalkrijke zandbodems – heel geschikt als laan- of haagboom langs wegen."
Acer platanoides	Noorse esdoorn	"In stedelijke straten werden duidelijk hogere bladconcentraties van Pb, Zn, Cu en Cd gemeten t.o.v. achtergrondlocaties; wordt herhaaldelijk genoemd als effectieve biomonitor/biofilter voor atmosferische metalen en PM. ResearchGate+2PMC+2"	"Europa, Polen (Silezisch industriegebied; steden als Katowice)"	"Hrotkó et al., 2020; Vasile et al., 2024"		"Sterke laanboom, redelijk droogtetolerant en bestand tegen strooizout; wel een stevige schaduwgever en niet ideaal in echt smalle bermen."
Alnus cordata	hartbladige els	"Wordt aanbevolen in kort-omloopbos en beplanting op gedegradeerde/contaminated lands; door stikstofbinding en associatie met Frankia en mycorrhiza’s draagt de soort bij aan herstel van bodemstructuur en immobilisatie van metalen, met goede groei op matig metaalbelaste bodems. ScienceDirect+2ISPRA+2"	Europa, Italië (Toscane, SRF-sites)	"Lumini et al., 1994; Bianco et al., 2014; Thompson et al., 2024"		"Vochtminnende maar redelijk droogteverdragende els; kan op zandbermen mits er wat grondwater of afstromend water is, eerder onderaan dan bovenop het talud."
Alnus glutinosa	zwarte els	"Actinorhizale soort die Cd, Pb, Zn en Cu kan accumuleren op verontreinigde bodems; wordt genoemd als geschikte soort voor fyto-stabilisatie op metaalrijke terreinen en langs rivieren. In PFAS-phytoscreening werd ze samen met Salix en Populus gebruikt om PFAS-pluimen in grondwater te lokaliseren. ScienceDirect+2iForest+2"	Europa, o.a. Roemenië (Baia Mare), Duitsland (PFAS-sites)	"Desai et al., 2019; Vasile et al., 2024; Algreen et al., 2020"		"Typische oever- en beekboom; houdt van nat tot vochtig, minder geschikt voor echt droge, hoge berm – eerder onderaan taluds of bij greppel."
Alnus incana	grauwe els	"Toont hoge tolerantie op metaalrijke bodems; vooral laag Cd-transport naar bladeren (meer excluder/fytostabilisator dan hyperaccumulator). Geschikt voor herstel van metaalverontreinigde sites waar erosie-beperking belangrijk is. iForest+1"	Europa, Zwitserland & experimentele sites in Italië	"Rosselli, Keller, & Boschi, 2003; Bandiera, 2010"		"Els van rivierdalen en natte bodems; kan iets droger staan dan zwarte els maar blijft minder geschikt voor heel droge, hoge bermen."
